title,address,longitude,latitude,coord_type,number,count,company,houseId
立水桥 精装开间 住家全齐 拎包即住,公园两栋,116.412323,40.060234,1,3100.0,1,北京全城兴业房地产经纪有限公司,2151232967x
【 全源】马连道 茶贸精装一居 临近地铁 家乐福对面 随时看房,茶贸国际中心,116.329574,39.882526,1,3000.0,1,北京我爱我家房地产经纪有限公司,2306024809x
珺悦国际民水民电 精装一居空房出租 可办公 拎包入住,珺悦国际,116.313378,39.686278,1,2800.0,1,北京信诚我家房地产经纪有限公司,2296963230x
珺悦国际小区，心酸价 火急火燎出租 南北通透65平,珺悦国际,116.313378,39.686278,1,3000.0,1,爱屋吉屋,2271577122x
出租地铁站附近一居室，真实照片个人直租,北苑家园,116.415977,40.040704,1,3100.0,1,,2260599606x
【 全源】荣丰2008小区可以押一付一 一居室长期稳定出租只需3000,荣丰2008,116.336616,39.894695,1,3000.0,1,北京我爱我家房地产经纪有限公司,1309288102x
业主急租——褡裢坡地铁站【定福景园 五建小区 金星小区】二外,定福景园,116.564482,39.921364,1,3000.0,1,北京世纪家福房地产经纪有限公司,2308044424x
【 全源】好房急租 看房方便 拎包入住 随时看房,芳源里,116.417006,39.784458,1,3200.0,1,北京我爱我家房地产经纪有限公司,2305490420x
【月付】首次出租荣京丽都超大开间2800月、拎包入住、家电齐,荣京丽都,116.511335,39.794439,1,2800.0,1,北京和睦房地产经纪有限公司,2302076799x
出租精装修一居室.家电家具齐全.可月付租金,青年路,116.517383,39.928488,1,2800.0,1,,2300477169x
丰益桥 前泥洼精装一居室 家电齐全 紧邻地铁 随时看房,前泥洼二区,116.30242,39.855281,1,3000.0,1,北京京诚友家房地产经纪有限公司,2283070557x
【 全源】双锦园精装一居，临近光大银行，万达广场家乐福，八角游乐园地铁,双锦园,116.221916,39.901885,1,3100.0,1,北京我爱我家房地产经纪有限公司,2316450479x
世纪茶贸 临近地铁七号线 家乐福对面 温馨公寓 拎包入住,茶贸国际中心,116.329574,39.882526,1,3000.0,1,北京康居易房地产经纪有限公司,2304195637x
北新桥 雍和宫 紧邻地铁 干净整洁 首次出租 非常适合居住,北新桥,116.416884,39.940782,1,3000.0,1,北京富华嘉业房地产经纪有限公司,2191667160x
【 全源】安宁里一居 超便宜 低楼层 紧邻西二旗上地 交通便利 配套齐,安宁里北区,116.329541,40.046909,1,3000.0,1,北京我爱我家房地产经纪有限公司,2292862003x
安佳独家房源 南庭新苑稀缺一居 家具家电全齐 随时看房 急租,南庭新苑,116.367429,39.803047,1,3100.0,1,北京安佳鼎盛房地产经纪有限公司,2289321773x
【 全源】玉泉路地铁十一学校南 青塔春园小区超低2900元 看房随时,青塔春园,116.255857,39.890497,1,2900.0,1,北京我爱我家房地产经纪有限公司,1951127982x
【 全源】玉泉路精装齐全婚房首次出租看房随时拎包入住,玉泉路19号乙,116.252255,39.911592,1,3300.0,1,北京我爱我家房地产经纪有限公司,2309963654x
丰台玉泉营 祥源公寓 精装一居 物业直租 押一付一 月底甩房,玉泉营公寓,116.345640,39.853270,1,3000.0,1,北京华夏武阳房地产经纪有限公司,2308906882x
精装南北通透大一居紧邻地铁10号14号线家电家具齐全拎包入住,双龙南里小区,116.479584,39.869495,1,3300.0,1,北京中天置地房地产经纪有限公司,2308185370x
地铁沿线 波普中心 正规一居室 可办公 可居住 随时看房,波普中心,116.331474,39.748177,1,3000.0,1,北京祥和基业房地产经纪有限公司,2291182061x
店长推荐地铁沿线，精装修，业主直签,北岸1292,116.581485,39.912246,1,2800.0,1,北京恒洋我家房地产经纪有限公司,2304702141x
为你而选为你为家 梨园 新通国际花园 精装开间 紧邻地铁,新通国际花园,116.673147,39.882131,1,3100.0,2,北京链家房地产经纪有限公司,2291773071x
精装一室 紧邻地铁 交通良好 出行方便 高档次居家选择,鸿博家园,116.473153,39.829755,1,3000.0,1,北京顺洋房地产经纪有限公司,2291686954x
东坝东泽园低价出租精装修家具家电齐全随时看房随时入住欢迎来电,东泽园,116.558017,39.959821,1,2900.0,1,北京晟源房地产经纪有限公司,2289868579x
双桥地铁站5分钟，水岸双桥 滨水东漫城集中供暖 3000,水岸双桥,116.578965,39.908315,1,3100.0,1,北京好来屋房地产经纪有限公司,2280191065x
大兴高米店绿地财富中心合租出租楼下 可以办公 紧邻地铁交通便,绿地财富中心,116.332761,39.765339,1,2800.0,1,经纪人,2266117164x
亦庄桥地铁站成熟小区贵园南里家电全齐随时看房,贵园南里,116.482452,39.794082,1,2900.0,1,爱屋吉屋,2261061386x
【免物业;取暖费】金融街;西单;荣丰精装正南向独立一居,荣丰2008,116.336616,39.894695,1,3200.0,1,北京安信瑞德房地产经纪有限公司,2256552990x
为你而选为你为家 中鑫嘉园精装单间牡丹园健德门地铁十号线,中鑫嘉园,116.377757,39.980002,1,2800.0,1,北京链家房地产经纪有限公司,2302691667x
【 全源】潘家园南新园 干净宽敞大一居 面积大装修好 全家电 房租月付,南新园,116.477242,39.870464,1,3300.0,1,北京我爱我家房地产经纪有限公司,2309003422x
马家堡 7克拉 地铁10号线 民水民电 拎包入住 随时看房,7克拉,116.385346,39.839382,1,3300.0,1,北京幸福家房地产经纪有限公司,2299143390x
7克拉 紧邻地铁10号线 精装全齐开间 首次出租,7克拉,116.385346,39.839382,1,2800.0,1,北京幸福家房地产经纪有限公司,2297434572x
芍药居精装开间！带独卫，家具家电齐全，月底订房打八折，真实图,芍药居甲31号楼,116.437563,39.983347,1,2900.0,1,北京世杰佳园房地产经纪有限公司,2296761945x
西客站 7号线地铁 机械大厦 苏宁易购 家乐福 便宜一居室,世纪茶贸,116.329574,39.882526,1,3100.0,1,北京铭阳嘉业房地产经纪有限公司,2287679358x
为你而选为你为家 卢沟桥南里 交通方便 拎包入住 地铁14,卢沟桥南里,116.234538,39.847642,1,3000.0,1,北京链家房地产经纪有限公司,2329864772x
西直门 全网最低 拎包入户 好房急租 金辉家园 海云轩 急租,海运仓国际大厦,116.43041,39.937035,1,3300.0,1,北京盛世纪房地产经纪有限公司,2329738685x
大兴地铁枣园附近精装1居出租,兴盛街187号院,116.31629,39.755154,1,3200.0,1,,2307643018x
泥洼路5号院 底层一居室 精装修 随时看房,泥洼路6号院,116.301384,39.863734,1,3000.0,1,北京京诚友家房地产经纪有限公司,2305248108x
w旧宫地铁 旧宫新苑正规一居室 全齐出租 随时看房,旧宫新苑,116.454790,39.798759,1,3000.0,1,北京朋诚房地产经纪有限公司,2294070984x
【 全源】玉泉路五棵松地铁精装全齐婚房拎包入住随时看房,复兴路46号院,116.253741,39.906256,1,3200.0,1,北京我爱我家房地产经纪有限公司,2232637222x
【找房子】店长推荐！69平2800元可提包随时住,南礼士路三条北里小区,116.350108,39.912943,1,2800.0,1,北京永晟房地产经纪有限公司,2308552306x
亦庄万源街地铁站东晶国际正规一居看房方便,东晶国际公寓,116.493675,39.799658,1,3100.0,1,爱屋吉屋,2228490037x
为你而选为你为家 紧邻地铁拎包入住开间,银地家园,116.333311,39.821232,1,2900.0,1,北京链家房地产经纪有限公司,2305019160x
东亚创展，正规一居，周围配套成熟，你的居家首选 拎包入住,东亚创展国际,116.556135,40.118536,1,3000.0,1,北京金色时光房地产经纪有限公司,2302704894x
双桥地铁站，滨水动漫城精装1居，包物业取暖，拎包入住，稀缺,滨水动漫城,116.581158,39.908683,1,3100.0,1,北京好来屋房地产经纪有限公司,2290016397x
【 全源】裕祥花园 家电齐全 拎包入住 周边配套齐全 随时看房,裕祥花园,116.547724,40.103499,1,3300.0,1,北京我爱我家房地产经纪有限公司,2298786712x
地铁十号线丰台站 精装修 家电齐全 首次出租 业主直签,三环新城,116.305931,39.851339,1,3000.0,1,北京京诚友家房地产经纪有限公司,2295187146x
【 全源】朝阳路定福庄金星小区精装一居室紧邻地铁八通线快速公交二号线随,金星小区,116.554742,39.918481,1,3300.0,1,北京我爱我家房地产经纪有限公司,2291137640x
为你而选为你为家 月季园精装一居地铁附近拎包入住价格可商量,月季园,116.705658,39.919677,1,3000.0,1,北京链家房地产经纪有限公司,2293575831x
业主便宜一居室 价格真实 房源真实 但是只有这一套了,金盏嘉园,116.561261,40.009846,1,2900.0,1,北京尚佳伟业房地产经纪有限公司,2197043302x
花乡 南四环 地铁 9号线 天兴家园,天兴家园,116.310505,39.823744,1,3300.0,1,北京嘉宝信业房地产经纪有限公司,2327839187x
双裕小区 低楼层一居室出租 精装 配家具家电 拎包入住,双裕东区,116.556384,40.107440,1,3200.0,1,北京金色时光房地产经纪有限公司,2308090402x
【 全源】上坡佳园超值正规一居出租 紧邻地铁八号线 步行五分钟 急租,上坡佳园,116.36785,40.083494,1,3000.0,1,北京我爱我家房地产经纪有限公司,2315343161x
紧缺一居紧邻地铁双龙南里一居室家具家电齐全采光好面积大,双龙南里小区,116.479584,39.869495,1,3200.0,1,北京中天置地房地产经纪有限公司,2300048937x
巩华家园 一居室精装修 房子干净 真实照片有需要的 联系我,巩华家园,116.284871,40.145552,1,2900.0,1,北京鑫好家园房地产经纪有限公司,2283636912x
邻近洋桥马家堡西里 精装一居室 家电齐全采光好 随时看房,马家堡西里,116.374168,39.852835,1,3200.0,1,北京中天置地房地产经纪有限公司,2274461731x
地铁四号线 角门马家堡 新宫地铁口 精装大一居 随时入住,御槐园,116.375491,39.814659,1,3100.0,1,爱屋吉屋,2329509314x
为你而选为你为家 位置佳交通便利家电齐全,银地家园,116.333311,39.821232,1,2900.0,1,北京链家房地产经纪有限公司,2304569238x
郁花园三里诚心出租 超值超值超级值,郁花园三里,116.333043,39.771327,1,3300.0,2,爱屋吉屋,2303764152x
亿城天筑 精装全齐1居 家电齐全 朝东向 随时看房 领包入住,亿城天筑,116.310984,39.820856,1,2800.0,1,经纪人,2300526695x
中景江山赋一室一厅一卫 拎包入住 随时看房,江山赋,116.552934,40.110896,1,2850.0,1,北京金色时光房地产经纪有限公司,2290277369x
直达国贸 四惠 临近双桥 高碑店 传媒大学北花园大开间,北花园小区,116.549693,39.905338,1,3100.0,2,,2272993095x
【 全源】朝阳路沿线 快2公交车站 三间房西里南北一居 可月付 0押,三间房西里小区,116.568654,39.917593,1,3000.0,1,北京我爱我家房地产经纪有限公司,2269218043x
个人房源 亚运村慧忠北里118号楼负一层公寓,慧忠北里第二社区,116.405299,40.00761,1,3200.0,1,,2268474332x
塔院胡同12号院紧邻地铁2号线积水潭精装修出行便利,塔院胡同12号院,116.381768,39.956094,1,2800.0,1,北京链家房地产经纪有限公司,2213731146x
正规一居室 精装修 德胜门 新街口外大街 积水潭 普天大院,普天大院,116.372439,39.954026,1,3000.0,1,北京盛世纪房地产经纪有限公司,2199116914x
金盏嘉园精装1室 环境优美配置齐全，低价甩租 物超所值,金盏嘉园,116.561261,40.009846,1,3100.0,1,北京尚佳伟业房地产经纪有限公司,2189635527x
地铁房 吉祥花园精装稀缺1居室 朝南   超低价格  可月付,吉祥花园,116.553793,40.087085,1,3000.0,1,北京典盛置地房地产经纪有限公司,2186193438x
金隅自由筑精装LOFT 能办公能注册 价格实惠 随时看房,自由筑,116.699301,39.875403,1,2800.0,1,,2327808407x
海淀朝阳 安贞 百鸟园 一居 酒店式公寓 8号线北土城 10,百鸟园,118.064905,24.441583,1,3300.0,1,爱屋吉屋,2312905145x
紧邻魏公村地铁站的一个楼房中的开间出租房子装修比较不错,魏公村9号院,116.319198,39.956057,1,3300.0,1,北京方圆和鑫房地产经纪有限公司,2298824656x
家具家电齐全拎包即可入住一居室 紧邻地铁15号线,幸福东区,116.658264,40.134722,1,2900.0,1,北京金色时光房地产经纪有限公司,2298230063x
【 全源】6号线地铁零距离精装修押一付一,天赐良缘,116.639351,39.925896,1,3200.0,1,北京我爱我家房地产经纪有限公司,2303888442x
为你而选为你为家 出门就是公交站牌 超市,索家坟20号院,116.358916,39.951538,1,3000.0,1,北京链家房地产经纪有限公司,2296825834x
地铁4号线新宫站 步行5分钟 交通便利 随时看房 拎包入住,南庭新苑北区,116.368955,39.806868,1,3000.0,1,北京中联盛世房地产经纪有限公司,2292750584x
地铁6号线物资学院站东北侧金地格林格林精装正规1居拎包入住,金地格林格林,116.653678,39.951342,1,3000.0,1,北京大正联合房地产经纪有限公司,2322918215x
为你而选为你为家 巴克寓所 一居改两居 交通便利直通国贸,巴克寓所,116.640255,39.887029,1,3200.0,1,北京链家房地产经纪有限公司,2306440292x
为你而选为你为家 卢沟桥南里精装一居 家电全齐 拎包入住,卢沟桥南里,116.234538,39.847642,1,3000.0,1,北京链家房地产经纪有限公司,2302780207x
为你而选为你为家 西辛南区 精装一居 家具家电齐全,西辛南区,116.643183,40.134072,1,2800.0,1,北京链家房地产经纪有限公司,2302553602x
7克拉 地铁10号线 首次出租 精装齐全 钥匙房 民水民电,7克拉,116.385346,39.839382,1,2900.0,1,北京幸福家房地产经纪有限公司,2299413897x
【 全源】好房出租 随时入住 正规南北通透 步行7分钟地铁口,清逸园,116.447246,39.803883,1,3000.0,1,北京我爱我家房地产经纪有限公司,2292913673x
精装齐全 兴都苑南区 南北通透 临近地铁 房东人很好 包物业,兴都苑南区,116.338344,39.797082,1,3300.0,1,北京鑫驰亿家房地产经纪有限公司,2284352476x
华诚地产 出租 宝隆大厦 45平方，可注册公司办理执照！！ ☞【华诚地产 优质房源】出租南三环边万柳桥宝隆大厦精装办公室,北京宝隆大厦,116.332709,39.850318,1,3200.0,1,北京华诚美居房地产经纪有限公司,2229668981x
鸿博家园全齐正规一居室出租 临近地铁 随时看房 随时入住,鸿博家园,116.473153,39.829755,1,3000.0,1,北京天圣永邦投资担保有限公司,2283982739x
传媒大学精装修一居室随时可以看房北花园小区,北花园小区,116.549693,39.905338,1,3200.0,1,北京广发房地产经纪有限公司,2299567573x
乐乎城市青年社区物业直接租，免中介，紧邻地铁13号线,乐乎城市青年社区,116.464464,39.865181,1,3100.0,1,,2282748437x
【月付】【短租】荣京东街地铁出租精装全齐3280月、家电齐全,兴盛国际,116.52325,39.794432,1,3000.0,1,北京和睦房地产经纪有限公司,2268667343x
双桥地铁3分钟——水岸双桥稀缺1居室，干净整洁，业主诚意出租,水岸双桥,116.578965,39.908315,1,3000.0,1,北京好来屋房地产经纪有限公司,2185463640x
为你而选为你为家 通州北关金地格林格林正规精装一居室临地铁,金地格林格林,116.653678,39.951342,1,3100.0,1,北京链家房地产经纪有限公司,2328038147x
超值便宜一居室！和平西桥地铁.和平里西街.天丰利市场附近,和平街西苑,116.415449,39.963153,1,3200.0,1,,2294017831x
真实价格，一家人住的首选，急急急急出租大一居,鸿博家园,116.473153,39.829755,1,3200.0,1,北京顺洋房地产经纪有限公司,2293885377x
观林阁精装一居室，价格便宜，业主急租，拎包入住,观林阁,116.545064,40.102561,1,2900.0,1,北京金色时光房地产经纪有限公司,2291617983x
武夷花园加华一居，临近地铁，交通便利,加华印象街,116.687956,39.915817,1,2800.0,1,北京链家房地产经纪有限公司,2188427874x
【 全源】地铁沿线 国融国际 精装大开间 有钥匙看房方便,国融国际,116.501782,39.801476,1,3000.0,1,北京我爱我家房地产经纪有限公司,2312600362x
【 全源】龙泽地铁附近 精装公寓一居室3000元起 长短租都行房租可申,龙泽苑,116.324152,40.072810,1,3000.0,1,北京我爱我家房地产经纪有限公司,2312919166x
胡各庄精装一居首次出租 好房 带电梯 真是图,温馨家园,116.549456,39.740346,1,2800.0,1,,2289668383x
【 全源】蒲黄榆地铁 f芳古一区 中装一居室 家电齐全拎包入住,芳古园一区,116.424412,39.868713,1,3200.0,1,北京我爱我家房地产经纪有限公司,2315469944x
紧邻双桥地铁站 华龙美小区 全新装修 全新感受 室内你懂得,华龙美树,116.57977,39.91257,1,3200.0,1,北京恒洋我家房地产经纪有限公司,2311981018x
【 全源】安宁里北区一居 低楼层 紧邻西二旗 西三旗 上地软件园 拎包,安宁里北区,116.329541,40.046909,1,3200.0,1,北京我爱我家房地产经纪有限公司,2305660895x
七号线地铁湾子站世纪茶贸中心,世纪茶贸中心,116.329574,39.882526,1,2900.0,1,北京中世一家房地产有限公司,2304819509x
地铁10号线 嘉园二里精装修 家电齐全，拎包入住 随时入住！,嘉园二里,116.367684,39.848622,1,3200.0,1,爱屋吉屋,2302309642x
双桥康惠园精装1居，稀缺房源，家电家具全齐，拎包入住,康惠园,116.583624,39.905979,1,3300.0,1,北京好来屋房地产经纪有限公司,2275526130x
地铁4号线6号线赵登禹路新街口附近精装一室一厅一卫出租,西直门,116.353714,39.939588,1,3000.0,1,北京畅熠房地产经纪有限公司,2226756345x
水岸双桥稀缺1居，房子非常棒，家电家具齐全，紧邻地铁5分钟,水岸双桥,116.578965,39.908315,1,3100.0,1,北京好来屋房地产经纪有限公司,2329530752x
精装南北通透大一居紧邻地铁10号14号线家电家具齐全拎包入住,南新园,116.477242,39.870464,1,3200.0,1,北京中天置地房地产经纪有限公司,2325557204x
【汇鑫放心房】绿地启航社 唯一一套精装修出租,绿地启航社,116.162658,39.754507,1,3000.0,1,北京汇鑫伟业房地产经纪有限公司,2312897887x
西红门 兴海家园 正规一室 装配齐全 格局温馨 紧邻地铁,兴海家园星苑,116.336299,39.791655,1,3200.0,1,爱屋吉屋,2310682411x
【 全源】15号线绿地起航一居室出租,绿地启航国际,116.31417,39.690714,1,3200.0,1,北京我爱我家房地产经纪有限公司,2305016559x
亦庄桥地铁站附近 业主直租贵园南里精装全齐大一居室,贵园南里乙区,116.482452,39.794082,1,2800.0,1,爱屋吉屋,2304429717x
地铁十号线 亦庄线 新区新装修 精装大一居 有钥匙随时看房,鸿博家园,116.473153,39.829755,1,2800.0,1,,2295547722x
五棵松地铁南 精装一居 首次出租 交通便利 拎包入住,青塔东里,116.270521,39.893822,1,3200.0,1,爱屋吉屋,2329234553x
【 全源】陶然亭地铁4号线 经济日报社 平原里 精装一居 通透采光,平原里小区,116.372458,39.880145,1,3300.0,1,北京我爱我家房地产经纪有限公司,2300482906x
【 全源】古城现代嘉园 新上一居 全明格局 家电齐全 紧邻地铁随时看房,古城现代嘉园,116.178806,39.913634,1,3300.0,1,北京我爱我家房地产经纪有限公司,2296477471x
【 全源】华业东方玫瑰 梨园临河里地铁八通沿线 电梯精装正规一居,华业东方玫瑰,116.685530,39.880905,1,3300.0,1,北京我爱我家房地产经纪有限公司,2257066141x
和平东桥公交站 光熙门地铁站 中日友好医院附近出租一居室,和平街十二区,116.426153,39.967735,1,3200.0,2,北京中天置地房地产经纪有限公司,2309205946x
临近地铁7号线采光好 精致装修 随时看房 交通方便 拎包入住,荣丰2008,116.336616,39.894695,1,2900.0,1,北京安信瑞德房地产经纪有限公司,2053111789x
八通线双桥地铁旁 滨水动漫城精装大开间出租 随时看房,滨水动漫城,116.581158,39.908683,1,2888.0,1,北京日盛置地房地产经纪有限公司,2327782061x
亦庄贵园南里60平米精装3200元位置优越交通便利随是看房,贵园南里,116.482452,39.794082,1,3200.0,1,北京海顺荣祥房地产经纪有限公司,2324425034x
出租精装一居室 干净整洁 家具齐全月付 包物业取暖 随时看房,北花园一号楼,116.550512,39.905583,1,3200.0,1,北京恒洋我家房地产经纪有限公司,2305649608x
马家堡 7克拉 豪装一室 家电全齐 紧邻地铁10号线,7克拉,116.385346,39.839382,1,3000.0,1,北京幸福家房地产经纪有限公司,2308714255x
房主直签 北工大南门 地铁14号线 双龙南里一居室 非常干净,双龙南里小区,116.479584,39.869495,1,3300.0,1,北京中天置地房地产经纪有限公司,2307211552x
丽泽桥 前泥洼精装一居室 家电齐全，紧邻地铁，随时看房！！,前泥洼二区,116.30242,39.855281,1,3000.0,1,北京京诚友家房地产经纪有限公司,2294299731x
【 全源】滨河小区67平 精装修;家电齐全 拎包入住;有钥匙,滨河小区,116.683219,40.118316,1,2800.0,1,北京我爱我家房地产经纪有限公司,2169985156x
北新桥 交道口 张自忠地铁东四十四条复试独立厨浴看房随时,东四十三条东四十条,116.425187,39.933751,1,2900.0,1,北京中盈置地房地产经纪有限公司,2306327392x
黄金楼层，黄金地段，裕祥花园新上1居室，仅需三千元，拎包入住,裕祥花园,116.547724,40.103499,1,3000.0,1,北京金色时光房地产经纪有限公司,2293051897x
为你而选为你为家 地铁六号线北关站 财富东方 精装开间,财富东方,116.651845,39.917447,1,3000.0,1,北京链家房地产经纪有限公司,2303144505x
南四环 小红门 正规一室一厅精装修 这价格太便宜了,鸿博家园,116.473153,39.829755,1,3000.0,1,经纪人,2274060917x
靠谱底商出租 办公 开店 交通便利 人流量大 紧邻地铁,中弘北京像素,116.615040,39.928041,1,3300.0,1,北京恒洋我家房地产经纪有限公司,2202241672x
双桥管庄 朝阳路 精装一居出租,滨水动漫城,116.581158,39.908683,1,3200.0,1,北京大展置地房地产经纪有限公司,2155916284x
【 全源】荣丰2008 38平 紧邻地铁 2800一月走过路过不要错过,荣丰2008,116.336616,39.894695,1,2800.0,1,北京我爱我家房地产经纪有限公司,2084484507x
唐家岭新城，上地，西二旗，软件园广场，联想百度，精装一居室,唐家岭新城,116.273945,40.065038,1,3000.0,1,北京中润置家房地产经纪有限公司,2302302231x
为你而选为你为家 梨园地铁 时尚街区精装一居可短租拎包入住,时尚街区东区,116.668006,39.882068,1,3200.0,1,北京链家房地产经纪有限公司,2299842057x
酒仙桥七棵树附近 坝鑫家园精装一居室直租 家具全齐 拎包入住,坝鑫家园,116.535231,39.970194,1,2800.0,1,北京达恒运房地产经纪有限公司,2299382016x
宣武周边 马连道茶贸中心一居全新家具家电 室家具家电全齐,世纪茶贸,116.329574,39.882526,1,3200.0,1,北京康居易房地产经纪有限公司,2267536065x
10号线地体丰台站旁三环新城朝南一居出租精装全齐随时入住,三环新城,116.305931,39.851339,1,3200.0,1,北京中远置地房地产经纪有限公司,2248532986x
【 全源】天宁寺南里 稀缺一居室55平只需3000一月 看房方便,天宁寺南里,116.344536,39.89143,1,3000.0,1,北京我爱我家房地产经纪有限公司,1688330424x
【 全源】劲松双龙南里 低价一居室 全齐家电随时入住 紧邻地铁房租月付,双龙南里小区,116.479584,39.869495,1,3300.0,1,北京我爱我家房地产经纪有限公司,2302373322x
